country_code,country_name,year,value,is_projection,indicator_code,indicator_description
ARG,Argentina,1980,0.7,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1981,-5.744,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1982,-3.149,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1983,3.733,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1984,2.0,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1985,-6.951,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1986,7.146,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1987,2.529,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1988,-1.957,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1989,-7.007,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1990,-1.338,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1991,10.498,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1992,10.299,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1993,6.251,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1994,5.83,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1995,-2.845,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1996,5.527,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1997,8.111,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1998,3.85,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,1999,-3.385,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,2000,-0.789,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,2001,-4.409,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,2002,-10.894,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,2003,8.955,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,2004,8.911,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,2005,8.852,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,2006,8.047,False,NGDP_RPCH,Crecimiento real del PIB (%)
ARG,Argentina,2007,9.008,False,NGDP_RPCH,Crecimiento real del PIB (%)
